"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-stores","avgt",1,1,10.645518,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:L1-icache-load-misses","avgt",1,1,0.005381,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:LLC-load-misses","avgt",1,1,0.002092,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:LLC-loads","avgt",1,1,0.004548,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:LLC-store-misses","avgt",1,1,0.000433,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:LLC-stores","avgt",1,1,0.001091,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:branch-misses","avgt",1,1,0.008558,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:branches","avgt",1,1,20.360253,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:cycles","avgt",1,1,55.274204,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:dTLB-load-misses","avgt",1,1,0.000007,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:dTLB-loads","avgt",1,1,29.006125,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:dTLB-store-misses","avgt",1,1,0.000083,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:dTLB-stores","avgt",1,1,10.667093,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:iTLB-load-misses","avgt",1,1,0.000412,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:iTLB-loads","avgt",1,1,0.000334,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:instructions","avgt",1,1,120.259359,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet:stalled-cycles-frontend","avgt",1,1,22.557737,NaN,"#/op",10
"com.lineate.school.SearchBenchmark.hashSet","avgt",1,5,26.813558,6.530852,"ns/op",100
"com.lineate.school.SearchBenchmark.hashSet:CPI","avgt",1,1,0.476619,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-load-misses","avgt",1,1,0.009904,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-loads","avgt",1,1,31.331251,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-store-misses","avgt",1,1,0.002405,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-stores","avgt",1,1,10.794070,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:L1-icache-load-misses","avgt",1,1,0.007569,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:LLC-load-misses","avgt",1,1,0.000521,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:LLC-loads","avgt",1,1,0.002021,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:LLC-store-misses","avgt",1,1,0.000356,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:LLC-stores","avgt",1,1,0.001264,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:branch-misses","avgt",1,1,0.005428,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:branches","avgt",1,1,20.256947,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:cycles","avgt",1,1,56.810105,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:dTLB-loads","avgt",1,1,31.308380,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:dTLB-store-misses","avgt",1,1,0.000157,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:dTLB-stores","avgt",1,1,10.806597,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:iTLB-load-misses","avgt",1,1,0.000320,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:iTLB-loads","avgt",1,1,0.000433,NaN,"#/op",100
"com.lineate.school.SearchBenchmark.hashSet:instructions","avgt",1,1,119.193887,NaN,"#/op",100
